,Image,Bee Jaccard,Ab Jaccard,Avg Jaccard,Bee Dice,Ab Dice,Avg Dice
0,1.png,0.46228245560469217,0.3940603418848305,0.42817139874476134,0.6322751857315093,0.5653418722923338,0.5988085290119216
1,2.png,0.4779663168047923,0.4132908873855949,0.4456286020951936,0.6467891877781156,0.5848631602657957,0.6158261740219556
2,3.png,0.4693625671555104,0.4204411847041039,0.4449018759298071,0.6388655565986462,0.5919867562720482,0.6154261564353471
3,4.png,0.43702490094235485,0.4173623172166508,0.4271936090795028,0.6082356689237158,0.588928197323952,0.5985819331238339
4,5.png,0.4376793601749189,0.3949621638605954,0.41632076201775714,0.6088692267539648,0.5662693571093383,0.5875692919316515
5,6.png,0.41068685013427114,0.39814407940651897,0.40441546477039503,0.5822509086197002,0.5695322610464041,0.5758915848330521
6,7.png,0.4127245819918995,0.3968445646181713,0.40478457330503537,0.5842958878934068,0.5682014658898703,0.5762486768916386
7,8.png,0.43320743773691733,0.4085026276570711,0.4208550326969942,0.6045285927638869,0.5800523472740435,0.5922904700189653
8,9.png,0.4453815864901185,0.3905153318566358,0.41794845917337714,0.61628235844855,0.5616843236603716,0.5889833410544607
9,10.png,0.46715619166148104,0.42960486497391703,0.44838052831769903,0.6368186213799772,0.6010120355623652,0.6189153284711713
10,11.png,0.5033237382154144,0.3987806784430202,0.45105220832921733,0.6696145685997171,0.5701832811801519,0.6198989248899345
11,12.png,0.47311041714271207,0.44568668046928916,0.4593985488060006,0.6423285201666972,0.6165743746419706,0.6294514474043339
12,13.png,0.4757187400572701,0.454442527496226,0.465080633776748,0.6447281953454197,0.6249026948882381,0.6348154451168289
13,14.png,0.4235761823155411,0.41596279268683845,0.4197694875011898,0.595087481200432,0.5875335070034357,0.5913104941019338
14,15.png,0.44437639369382365,0.42133768690559487,0.4328570402997093,0.6153193802307763,0.5928748541423571,0.6040971171865667
15,16.png,0.457335454286584,0.38512536762873234,0.4212304109576582,0.6276323724114232,0.5560873789901752,0.5918598757007992
16,17.png,0.4632797175362887,0.391183965500343,0.42723184151831584,0.6332073245931527,0.5623756098420135,0.597791467217583
17,18.png,0.4488312568133947,0.4124547803617571,0.4306430185875759,0.6195769931145306,0.5840254655885259,0.6018012293515282
18,19.png,0.4834014883392666,0.42032518216943704,0.45186333525435185,0.6517473416862429,0.5918717592930695,0.6218095504896561
19,20.png,0.4646090962799932,0.406480343980344,0.4355447201301686,0.6344479185061304,0.5780106998580631,0.6062293091820967
